18-24,25-34,35-44,45-54,55-64,65,Female,Gender Variant/Non-Conforming,Male,College,Elementary School,Graduate School,High School,Prefer Not to Answer,Asian or Pacific Islander,Black or African American,Hispanic or Latino,Indian,Two or more races,White or Caucasian,MFA Familiarity Count,Security Beliefs,Security Importance,Quick Log In Importance,Log In Usability Importance,Log In Convenience Importance,Log In Satisfaction,MFA Opt In Frequency,Present Bias
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,2,10,9,10,9,8,2,1
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,6,2,7,10,9,7,8,1,1
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4,2,6,8,8,8,7,1,1
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,5,2,10,10,10,10,10,2,0
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5,2,10,10,10,10,10,2,0
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,2,10,8,10,10,9,1,1
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,6,2,10,5,10,10,10,2,1
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,10,10,8,7,6,3,0
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,2,6,9,9,9,7,2,0
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,2,10,10,7,7,5,1,1
0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,2,10,10,10,10,8,2,1
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4,2,10,10,10,10,10,1,1
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6,2,10,10,10,10,9,1,1
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,5,2,10,10,10,10,6,3,0
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,4,2,10,10,10,10,7,3,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,2,10,8,10,8,10,3,0
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,5,2,10,9,9,10,9,2,1
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,2,9,7,8,7,7,3,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,10,8,8,8,8,0,0
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,5,2,5,6,6,6,5,3,0
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6,2,10,7,10,8,10,2,1
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,6,2,10,10,10,10,10,3,0
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,2,10,10,10,10,10,1,1
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3,2,10,9,9,8,9,3,0
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5,2,10,8,10,7,6,2,1
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,2,9,9,9,8,8,3,0
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,4,2,10,9,10,9,8,3,0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5,2,10,10,10,10,8,2,1
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,4,2,9,9,8,9,5,2,1
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,9,8,7,8,8,1,0
0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,6,2,10,10,10,10,8,1,1
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,4,2,10,10,8,10,6,1,1
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,6,2,10,6,6,6,9,3,0
0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,10,10,10,9,10,2,1
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,6,2,10,10,10,10,9,2,1
0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,5,2,8,10,10,10,8,3,0
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5,2,10,5,8,10,8,3,0
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,5,2,10,10,10,10,3,3,0
