,Number of Image Familiarity,Security Values,Online Security Importance,Quick Log In Importance,Usability Importance,Convenience Importance,Log In Satisfaction,MFA Use
0,3,2.0,6.0,7.0,7.0,5.0,5.0,2.0
1,5,2.0,3.0,8.0,6.0,3.0,5.0,3.0
2,3,2.0,2.0,6.0,5.0,4.0,4.0,3.0
3,4,2.0,6.0,8.0,7.0,6.0,7.0,2.0
4,4,2.0,6.0,8.0,7.0,6.0,7.0,2.0
5,3,2.0,6.0,6.0,7.0,6.0,6.0,3.0
6,5,2.0,6.0,3.0,7.0,6.0,7.0,2.0
7,2,2.0,6.0,8.0,5.0,3.0,3.0,0.0
8,2,2.0,2.0,7.0,6.0,5.0,4.0,2.0
9,2,2.0,6.0,8.0,4.0,3.0,2.0,3.0
10,2,2.0,6.0,8.0,7.0,6.0,5.0,2.0
11,3,2.0,6.0,8.0,7.0,6.0,7.0,3.0
12,5,2.0,6.0,8.0,7.0,6.0,6.0,3.0
13,4,2.0,6.0,8.0,7.0,6.0,3.0,0.0
14,3,2.0,6.0,8.0,7.0,6.0,4.0,0.0
15,3,2.0,6.0,6.0,7.0,4.0,7.0,0.0
16,4,2.0,6.0,7.0,6.0,6.0,6.0,2.0
17,4,2.0,5.0,5.0,5.0,3.0,4.0,0.0
18,0,2.0,6.0,6.0,5.0,4.0,5.0,1.0
19,4,2.0,1.0,4.0,3.0,2.0,2.0,0.0
20,5,2.0,6.0,5.0,7.0,4.0,7.0,2.0
21,5,2.0,6.0,8.0,7.0,6.0,7.0,0.0
22,3,2.0,6.0,8.0,7.0,6.0,7.0,3.0
23,2,2.0,6.0,7.0,6.0,4.0,6.0,0.0
24,4,2.0,6.0,6.0,7.0,3.0,3.0,2.0
25,3,2.0,5.0,7.0,6.0,4.0,5.0,0.0
26,3,2.0,6.0,7.0,7.0,5.0,5.0,0.0
27,4,2.0,6.0,8.0,7.0,6.0,5.0,2.0
28,3,2.0,5.0,7.0,5.0,5.0,2.0,2.0
29,2,0.0,5.0,6.0,4.0,4.0,5.0,3.0
30,5,2.0,6.0,8.0,7.0,6.0,5.0,3.0
31,3,2.0,6.0,8.0,5.0,6.0,3.0,3.0
32,5,2.0,6.0,4.0,3.0,2.0,6.0,0.0
33,0,2.0,6.0,8.0,7.0,5.0,7.0,2.0
34,5,2.0,6.0,8.0,7.0,6.0,6.0,2.0
35,4,2.0,4.0,8.0,7.0,6.0,5.0,0.0
36,4,2.0,6.0,3.0,5.0,6.0,5.0,0.0
37,4,2.0,6.0,8.0,7.0,6.0,0.0,0.0
38,3,2.0,6.0,6.0,1.0,6.0,2.0,3.0
39,3,2.0,6.0,8.0,7.0,6.0,7.0,0.0
40,5,2.0,5.0,7.0,0.0,5.0,6.0,3.0
41,5,2.0,4.0,6.0,6.0,4.0,4.0,2.0
42,5,2.0,6.0,4.0,6.0,1.0,6.0,3.0
43,5,2.0,6.0,8.0,7.0,6.0,5.0,2.0
44,4,2.0,6.0,8.0,7.0,6.0,3.0,3.0
45,5,2.0,6.0,8.0,7.0,6.0,5.0,2.0
46,5,2.0,5.0,8.0,5.0,0.0,7.0,2.0
47,3,2.0,5.0,5.0,3.0,2.0,4.0,3.0
48,5,2.0,6.0,8.0,7.0,6.0,5.0,3.0
49,5,2.0,6.0,8.0,5.0,4.0,7.0,0.0
50,4,2.0,5.0,7.0,7.0,6.0,5.0,0.0
51,3,2.0,4.0,7.0,5.0,4.0,5.0,3.0
52,3,1.0,6.0,7.0,5.0,5.0,4.0,1.0
53,0,2.0,6.0,8.0,7.0,6.0,4.0,2.0
54,4,2.0,6.0,8.0,7.0,6.0,7.0,2.0
55,1,2.0,6.0,8.0,5.0,6.0,5.0,3.0
56,3,2.0,3.0,6.0,5.0,4.0,5.0,3.0
57,4,1.0,6.0,5.0,3.0,5.0,6.0,3.0
58,3,2.0,6.0,8.0,7.0,6.0,7.0,3.0
59,3,2.0,6.0,6.0,5.0,6.0,7.0,2.0
60,2,2.0,6.0,4.0,7.0,6.0,5.0,3.0
61,3,2.0,6.0,8.0,7.0,6.0,7.0,0.0
62,5,2.0,6.0,8.0,7.0,6.0,4.0,0.0
63,5,2.0,4.0,8.0,7.0,6.0,5.0,3.0
64,4,2.0,6.0,8.0,7.0,5.0,5.0,3.0
65,4,2.0,6.0,7.0,6.0,5.0,7.0,0.0
66,3,2.0,6.0,7.0,6.0,3.0,7.0,2.0
67,2,2.0,6.0,7.0,4.0,5.0,6.0,3.0
68,4,2.0,5.0,8.0,6.0,6.0,5.0,0.0
69,5,2.0,3.0,6.0,4.0,4.0,4.0,2.0
70,5,2.0,6.0,8.0,6.0,6.0,7.0,3.0
